Image ID,Deviation of Widths (DW),Deviation of Heights (DH),Deviation of Areas (DA),Density,Vertical Projection Variance,Pixels Distribution,Major Horizontal Projection Difference,Bottom Line,Black Pixels Each Line
22.jpg,[0.0],[0.0],[0.0],0.0005223171889838,0.0573765432098765,0.0012512980269989,18446744073709551615,0.0,0.0611111111111111
22.jpg,[0.0],[0.0],[0.0],0.0001304404539327,0.0267654237858766,0.0008261445068236,18446744073709551614,0.0,0.0275229357798165
22.jpg,[0.0],[0.0],[0.0],0.0005211047420531,0.0674053554939981,0.0005783689994216,18446744073709551615,0.0,0.0526315789473684
22.jpg,[0.0],[0.0],[0.0],0.0014341787439613,0.133217811384163,0.0016009437141894,18446744073709551614,0.0,0.1376811594202898
22.jpg,[0.0],[0.0],[0.0],0.0013262599469496,0.0927467300832342,0.0015212981744421,18446744073709551532,0.0,0.1034482758620689
22.jpg,[0.0],[0.0],[0.0],0.0002757099531293,0.0210428951323852,0.0003162555344718,18446744073709551611,0.0,0.021505376344086
22.jpg,[0.0],[0.0],[0.0],0.0,0.0,9.229988231765004e-05,18446744073709551615,0.0,0.0
22.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0001031353135313,18446744073709551615,0.0,0.0
22.jpg,[0.0],[0.0],[0.0],0.0005139274334463,0.067212770426381,0.0005531585352361,18446744073709551610,0.0,0.072463768115942
22.jpg,[0.0],[0.0],[0.0],0.0004471272076905,0.0273755207300138,0.0005314908317831,18446744073709551608,0.0,0.028169014084507
23.jpg,[0.0],[0.0],[0.0],2.9069767441860467e-05,0.004975,3.08641975308642e-05,18446744073709551614,0.0,0.005
23.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551608,0.0,0.0
23.jpg,[0.0],[0.0],[0.0],5.165289256198347e-05,0.0056495351239669,0.0005681818181818,18446744073709551607,0.0,0.0056818181818181
23.jpg,[0.0],[0.0],[0.0],0.000949929521358,7.129210291372453,5.075498033244507e-05,18446744073709551615,0.0022522522522522,0.2792792792792795
23.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551601,0.0,0.0
23.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551613,0.0,0.0
23.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551410,0.0,0.0
23.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551615,0.0,0.0
